site,count,year
Mzimkhulu,37.4,1
Mzimkhulu,36.5,2
Mzimkhulu,48.2,3
Mzimkhulu,36.3,4
Mzimkhulu,29.2,5
Mzimkhulu,23.9,6
Mzimkhulu,27.9,7
Mzimkhulu,34.4,8
Mzimkhulu,35.9,9
Mzimkhulu,61.5,10
Kransberg Benson,863,1
Kransberg Benson,863,2
Kransberg Benson,831,3
Kransberg Benson,839,4
Kransberg Benson,814,5
Kransberg Benson,794,6
Kransberg Benson,744,7
Kransberg Benson,729,8
Kransberg Benson,697,9
Kransberg Benson,736,10
Nooitgedacht,100,1
Nooitgedacht,88,2
Nooitgedacht,118,3
Nooitgedacht,113,4
Nooitgedacht,125,5
Nooitgedacht,93,6
Nooitgedacht,73,7
Nooitgedacht,116,8
Nooitgedacht,97,9
Nooitgedacht,96,10
Skeerpoort,221,1
Skeerpoort,223,2
Skeerpoort,197,3
Skeerpoort,209,4
Skeerpoort,222,5
Skeerpoort,248,6
Skeerpoort,251,7
Skeerpoort,290,8
Skeerpoort,316,9
Skeerpoort,287,10
Colleywobbles,140,1
Colleywobbles,145,2
Colleywobbles,123,3
Colleywobbles,122,4
Colleywobbles,147,5
Colleywobbles,111,6
Colleywobbles,114,7
Colleywobbles,130,8
Colleywobbles,137,9
Colleywobbles,158,10
Potberg,22,1
Potberg,15,2
Potberg,17,3
Potberg,14,4
Potberg,26,5
Potberg,25,6
Potberg,25,7
Potberg,25,8
Potberg,22,9
Potberg,21,10
