year,hrs,count,site,species
2023,1112.58,350,Hawk Mountain,Accipiter cooperii
2022,1075.92,426,Hawk Mountain,Accipiter cooperii
2021,1123.07,514,Hawk Mountain,Accipiter cooperii
2020,1084.6,591,Hawk Mountain,Accipiter cooperii
2019,1080.03,282,Hawk Mountain,Accipiter cooperii
2018,1027.02,598,Hawk Mountain,Accipiter cooperii
2017,1013.22,358,Hawk Mountain,Accipiter cooperii
2016,1137.5,370,Hawk Mountain,Accipiter cooperii
2015,1127.67,396,Hawk Mountain,Accipiter cooperii
2014,1102.03,554,Hawk Mountain,Accipiter cooperii
2013,1125.45,396,Hawk Mountain,Accipiter cooperii
2012,1108.2,580,Hawk Mountain,Accipiter cooperii
2011,1076.07,558,Hawk Mountain,Accipiter cooperii
2010,1087.1,756,Hawk Mountain,Accipiter cooperii
2009,1032.63,611,Hawk Mountain,Accipiter cooperii
2008,1082.32,530,Hawk Mountain,Accipiter cooperii
2007,1103.18,743,Hawk Mountain,Accipiter cooperii
2006,1114.82,932,Hawk Mountain,Accipiter cooperii
2005,1143.12,1121,Hawk Mountain,Accipiter cooperii
2004,1079.95,536,Hawk Mountain,Accipiter cooperii
2003,1052.72,683,Hawk Mountain,Accipiter cooperii
2002,1039.05,599,Hawk Mountain,Accipiter cooperii
2001,1136.82,902,Hawk Mountain,Accipiter cooperii
2000,1125.43,751,Hawk Mountain,Accipiter cooperii
2023,714.3,3203,Goshutes,Accipiter cooperii
2022,674.87,2354,Goshutes,Accipiter cooperii
2021,672.13,1569,Goshutes,Accipiter cooperii
2019,662.6,1336,Goshutes,Accipiter cooperii
2018,706.75,4077,Goshutes,Accipiter cooperii
2017,697.75,1528,Goshutes,Accipiter cooperii
2016,649.17,1971,Goshutes,Accipiter cooperii
2015,616.25,4418,Goshutes,Accipiter cooperii
2014,641.17,3986,Goshutes,Accipiter cooperii
2013,563.83,1997,Goshutes,Accipiter cooperii
2012,741.25,2130,Goshutes,Accipiter cooperii
2011,682.03,2067,Goshutes,Accipiter cooperii
2010,692.6,2599,Goshutes,Accipiter cooperii
2009,733.58,1691,Goshutes,Accipiter cooperii
2008,761.07,1957,Goshutes,Accipiter cooperii
2007,747.97,3422,Goshutes,Accipiter cooperii
2006,719.58,2541,Goshutes,Accipiter cooperii
2005,695.3,2260,Goshutes,Accipiter cooperii
2004,641.75,2736,Goshutes,Accipiter cooperii
2003,688.25,2281,Goshutes,Accipiter cooperii
2002,725.67,2369,Goshutes,Accipiter cooperii
2001,787.33,5110,Goshutes,Accipiter cooperii
2000,681.5,3022,Goshutes,Accipiter cooperii
2023,900.62,6123,Cape May,Accipiter cooperii
2022,896.25,7643,Cape May,Accipiter cooperii
2021,898,2235,Cape May,Accipiter cooperii
2020,873.27,3708,Cape May,Accipiter cooperii
2019,905.67,3593,Cape May,Accipiter cooperii
2018,914.43,5361,Cape May,Accipiter cooperii
2017,900.32,1738,Cape May,Accipiter cooperii
2016,933.32,3144,Cape May,Accipiter cooperii
2015,884.55,4353,Cape May,Accipiter cooperii
2014,906.67,3881,Cape May,Accipiter cooperii
2013,866.58,3611,Cape May,Accipiter cooperii
2012,1092,3630,Cape May,Accipiter cooperii
2011,800.53,2927,Cape May,Accipiter cooperii
2010,882.25,4106,Cape May,Accipiter cooperii
2009,869.2,5738,Cape May,Accipiter cooperii
2008,808.5,4452,Cape May,Accipiter cooperii
2007,882.17,2712,Cape May,Accipiter cooperii
2006,743.58,6910,Cape May,Accipiter cooperii
2005,832.5,5829,Cape May,Accipiter cooperii
2004,857.43,5046,Cape May,Accipiter cooperii
2003,896.52,4248,Cape May,Accipiter cooperii
2002,895.8,3503,Cape May,Accipiter cooperii
2001,822.8,1874,Cape May,Accipiter cooperii
2000,859.33,2613,Cape May,Accipiter cooperii
2023,564,91,Detroit River,Accipiter cooperii
2022,567.25,91,Detroit River,Accipiter cooperii
2021,546,52,Detroit River,Accipiter cooperii
2020,568,105,Detroit River,Accipiter cooperii
2019,575.25,128,Detroit River,Accipiter cooperii
2018,541.75,120,Detroit River,Accipiter cooperii
2017,636.75,120,Detroit River,Accipiter cooperii
2016,635.5,169,Detroit River,Accipiter cooperii
2015,648,250,Detroit River,Accipiter cooperii
2014,627.5,472,Detroit River,Accipiter cooperii
2013,642.5,460,Detroit River,Accipiter cooperii
2012,619,468,Detroit River,Accipiter cooperii
2011,591.5,763,Detroit River,Accipiter cooperii
2010,564.5,834,Detroit River,Accipiter cooperii
2009,519.42,335,Detroit River,Accipiter cooperii
2008,464.9,294,Detroit River,Accipiter cooperii
2007,598.5,724,Detroit River,Accipiter cooperii
2006,475.75,628,Detroit River,Accipiter cooperii
2005,456.25,432,Detroit River,Accipiter cooperii
2004,478.75,461,Detroit River,Accipiter cooperii
2003,545.33,709,Detroit River,Accipiter cooperii
2002,561.5,572,Detroit River,Accipiter cooperii
2001,526,693,Detroit River,Accipiter cooperii
2000,510.2,408,Detroit River,Accipiter cooperii
2023,682.5,1197,Florida Keys,Accipiter cooperii
2022,866.5,490,Florida Keys,Accipiter cooperii
2021,904.25,260,Florida Keys,Accipiter cooperii
2020,455.25,305,Florida Keys,Accipiter cooperii
2019,409.25,136,Florida Keys,Accipiter cooperii
2018,409.75,371,Florida Keys,Accipiter cooperii
2017,25.75,15,Florida Keys,Accipiter cooperii
2016,428,839,Florida Keys,Accipiter cooperii
2015,298.25,406,Florida Keys,Accipiter cooperii
2014,444.75,871,Florida Keys,Accipiter cooperii
2013,362,548,Florida Keys,Accipiter cooperii
2012,414.5,766,Florida Keys,Accipiter cooperii
2011,420,830,Florida Keys,Accipiter cooperii
2010,297.5,237,Florida Keys,Accipiter cooperii
2008,348.75,604,Florida Keys,Accipiter cooperii
2007,361,870,Florida Keys,Accipiter cooperii
2006,385.25,416,Florida Keys,Accipiter cooperii
2005,329.5,480,Florida Keys,Accipiter cooperii
2004,403.17,1036,Florida Keys,Accipiter cooperii
2003,462.5,348,Florida Keys,Accipiter cooperii
2002,479.25,289,Florida Keys,Accipiter cooperii
2001,459.5,335,Florida Keys,Accipiter cooperii
2000,495,839,Florida Keys,Accipiter cooperii
2023,963.97,66,Hawk Ridge,Accipiter cooperii
2022,899.08,84,Hawk Ridge,Accipiter cooperii
2021,904.67,81,Hawk Ridge,Accipiter cooperii
2020,716.25,52,Hawk Ridge,Accipiter cooperii
2019,859.42,53,Hawk Ridge,Accipiter cooperii
2018,723.7,76,Hawk Ridge,Accipiter cooperii
2017,721.18,179,Hawk Ridge,Accipiter cooperii
2016,828,151,Hawk Ridge,Accipiter cooperii
2015,804.33,105,Hawk Ridge,Accipiter cooperii
2014,846.93,140,Hawk Ridge,Accipiter cooperii
2013,830,120,Hawk Ridge,Accipiter cooperii
2012,888.65,77,Hawk Ridge,Accipiter cooperii
2011,961.4,133,Hawk Ridge,Accipiter cooperii
2010,902.12,98,Hawk Ridge,Accipiter cooperii
2009,908.27,88,Hawk Ridge,Accipiter cooperii
2008,927.92,59,Hawk Ridge,Accipiter cooperii
2007,784.1,75,Hawk Ridge,Accipiter cooperii
2006,740,38,Hawk Ridge,Accipiter cooperii
2005,756,141,Hawk Ridge,Accipiter cooperii
2004,747.5,136,Hawk Ridge,Accipiter cooperii
2003,798.5,117,Hawk Ridge,Accipiter cooperii
2002,769.75,136,Hawk Ridge,Accipiter cooperii
2001,774.5,168,Hawk Ridge,Accipiter cooperii
2000,760.5,227,Hawk Ridge,Accipiter cooperii
2023,797.42,2740,Corpus Christi,Accipiter cooperii
2022,835.1,2068,Corpus Christi,Accipiter cooperii
2021,849.83,1676,Corpus Christi,Accipiter cooperii
2020,819.5,1234,Corpus Christi,Accipiter cooperii
2019,852.75,891,Corpus Christi,Accipiter cooperii
2018,831.53,1516,Corpus Christi,Accipiter cooperii
2017,828.25,1358,Corpus Christi,Accipiter cooperii
2016,634,824,Corpus Christi,Accipiter cooperii
2015,597,1059,Corpus Christi,Accipiter cooperii
2014,587,821,Corpus Christi,Accipiter cooperii
2013,595.75,1017,Corpus Christi,Accipiter cooperii
2012,736.08,1484,Corpus Christi,Accipiter cooperii
2011,693.25,1379,Corpus Christi,Accipiter cooperii
2010,689.25,1328,Corpus Christi,Accipiter cooperii
2009,688,1078,Corpus Christi,Accipiter cooperii
2008,830.42,1308,Corpus Christi,Accipiter cooperii
2007,798.75,1222,Corpus Christi,Accipiter cooperii
2006,704.5,1719,Corpus Christi,Accipiter cooperii
2005,715.75,815,Corpus Christi,Accipiter cooperii
2004,701,483,Corpus Christi,Accipiter cooperii
2003,643.5,1083,Corpus Christi,Accipiter cooperii
2002,676.5,645,Corpus Christi,Accipiter cooperii
2001,723.5,473,Corpus Christi,Accipiter cooperii
2000,728.58,555,Corpus Christi,Accipiter cooperii
